STATEFP,COUNTYFP,GEOID,city_x,ALAND,AWATER,SNI_raw,SNI_Score,point_count_311,311_score_raw,311_score_log,311_score_sqrt,311_score_yj,ES_raw,ES_log,ES_sqrt,ES_yj,Raw_status,Log_status,SQRT_status,YJ_status,Raw_score,Log_score,SQRT_score,YJ_score,TRACTCE_y,NAME_y,population,median_hh_income,median_home_value,median_gross_rent,median_year_built,land_area_sqmi,pop_density_sqmi,pct_indv_poverty,unemployment_rate,pct_vacant,pct_renter,pct_no_vehicle,pct_no_internet,pct_smartphone_only,pct_limited_english_pop,pct_foreign_born,pct_under_18,pct_65_plus,pct_bachelors_plus,pct_non_white,pct_white_nh,pct_black_nh,pct_hispanic,pct_asian_nh,pct_aian_nh,pct_nhpi_nh,pct_other_nh,pct_two_plus_nh
6,37,06037104108,los_angeles,1096636,0,43.62079504,33.17529125,5070.0,15.22,69.95,36.42,33.36,-17.95529125,36.77470875,3.244708751,0.184708751,negative,positive,positive,positive,1.0,0.0,0.0,0.0,104108,1041.08,4939.0,74506.0,621200.0,1874.0,1979,0.4234135267902832,11664.72,0.142,0.082595,0.057544,0.62621,0.050633,0.078928,0.172003,0.4,0.485523,0.192,0.112,0.105,0.978336,0.021664,0.067423,0.83195,0.038672,0.0,0.0,0.016198,0.024094
6,37,06037104201,los_angeles,1090097,0,56.84924271,69.3172582,5364.0,16.11,70.85,37.59,34.52,-53.2072582,1.532741804,-31.7272582,-34.7972582,negative,positive,negative,negative,1.0,0.0,1.0,1.0,104201,1042.01,4337.0,107083.0,613100.0,2389.0,1956,0.4208888047752466,10304.38,0.08,0.095219,0.033937,0.289227,0.023419,0.077283,0.010539,0.321,0.406041,0.189,0.115,0.127,0.997694,0.002306,0.094305,0.854277,0.047959,0.001153,0.0,0.0,0.0
6,37,06037104203,los_angeles,707989,0,44.15419587,34.74668112,4098.0,12.26,66.53,32.28,29.29,-22.48668112,31.78331888,-2.466681116,-5.456681116,negative,positive,negative,negative,1.0,0.0,1.0,1.0,104203,1042.03,4992.0,74008.0,572700.0,1809.0,1968,0.2733560811597703,18261.89,0.19,0.127288,0.076003,0.450092,0.034196,0.015712,0.198706,0.43,0.488181,0.251,0.121,0.098,0.991787,0.008213,0.029647,0.938502,0.011018,0.0,0.0,0.001002,0.011619
6,37,06037104204,los_angeles,2660594,3735,38.8149341,21.56597128,2356.0,6.97,57.65,23.36,20.69,-14.59597128,36.08402872,1.794028719,-0.875971281,negative,positive,positive,negative,1.0,0.0,0.0,1.0,104204,1042.04,3577.0,76250.0,637600.0,,1983,1.0272610865383471,3482.07,0.132,0.037673,0.021305,0.302041,0.016327,0.019048,0.089796,0.3,0.374895,0.228,0.125,0.138,0.873637,0.126363,0.045569,0.774392,0.034666,0.010903,0.0,0.0,0.008107
6,37,06037104310,los_angeles,1508621,0,67.87762749,90.12462747,4986.0,14.96,69.68,36.08,33.02,-75.16462747,-20.44462747,-54.04462747,-57.10462747,negative,negative,negative,negative,1.0,1.0,1.0,1.0,104310,1043.1,4561.0,92457.0,609300.0,2049.0,1955,0.5824818245980288,7830.29,0.124,0.06283,0.027689,0.228916,0.03943,0.09529,0.158817,0.364,0.486297,0.198,0.164,0.087,0.98246,0.01754,0.01184,0.943214,0.00307,0.0,0.0,0.022364,0.001973
6,37,06037104321,los_angeles,519857,0,37.3888248,18.50447033,3199.0,9.53,62.56,27.98,25.11,-8.974470333,44.05552967,9.475529667,6.605529667,negative,positive,positive,positive,1.0,0.0,0.0,0.0,104321,1043.21,2749.0,58047.0,596700.0,,1957,0.2007179098594395,13695.84,0.174,0.098669,0.065111,0.507227,0.289093,0.069645,0.378449,0.446,0.517643,0.166,0.183,0.046,0.989814,0.010186,0.009458,0.917425,0.00873,0.0251,0.0,0.015278,0.013823
6,37,06037104322,los_angeles,692312,0,69.79909222,92.38688702,3304.0,9.85,63.08,28.51,25.63,-82.53688702,-29.30688702,-63.87688702,-66.75688702,negative,negative,negative,negative,1.0,1.0,1.0,1.0,104322,1043.22,1778.0,106400.0,584600.0,1182.0,1955,0.2673031576195151,6651.62,0.046,0.037661,0.076923,0.245098,0.10049,0.090686,0.178922,0.428,0.517435,0.181,0.166,0.157,0.974128,0.025872,0.015186,0.891451,0.02081,0.0,0.02081,0.009561,0.01631
6,37,06037104401,los_angeles,681117,0,42.31335495,29.76158223,2976.0,8.85,61.4,26.82,24.0,-20.91158223,31.63841777,-2.941582227,-5.761582227,negative,positive,negative,negative,1.0,0.0,1.0,1.0,104401,1044.01,2862.0,77875.0,691000.0,1951.0,1955,0.2629807439540716,10882.93,0.174,0.074928,0.071953,0.47943,0.123418,0.068038,0.158228,0.25,0.324948,0.252,0.119,0.127,0.966108,0.033892,0.006289,0.959818,0.0,0.0,0.0,0.0,0.0
6,37,06037104403,los_angeles,693083,0,48.18730685,45.65158494,3338.0,9.95,63.24,28.68,25.79,-35.70158494,17.58841506,-16.97158494,-19.86158494,negative,positive,negative,negative,1.0,0.0,1.0,1.0,104403,1044.03,2410.0,88571.0,622900.0,2507.0,1960,0.2676008423837899,9005.95,0.187,0.0616,0.118136,0.392453,0.028302,0.056604,0.169811,0.344,0.402075,0.241,0.154,0.092,0.985892,0.014108,0.0,0.954772,0.03112,0.0,0.0,0.0,0.0
6,37,06037104404,los_angeles,539620,0,49.5876014,49.63424546,3285.0,9.79,62.98,28.42,25.53,-39.84424546,13.34575454,-21.21424546,-24.10424546,negative,positive,negative,negative,1.0,0.0,1.0,1.0,104404,1044.04,3477.0,83173.0,628400.0,1862.0,1951,0.2083484468197037,16688.39,0.117,0.060395,0.0,0.563514,0.091892,0.078378,0.147297,0.388,0.443773,0.287,0.118,0.062,0.990221,0.009779,0.0,0.972678,0.012367,0.0,0.0,0.002588,0.002588
