GEOID,City,SR_point_count,311_SRI_score,SNI_score,ES_score
24510090300,baltimore,5198,62.56,53.96911406,8.590885939
24510090400,baltimore,1841,31.03,78.40693579,-47.37693579
24510090500,baltimore,2487,38.55,84.0287185,-45.4787185
24510090600,baltimore,3372,47.4,38.68870225,8.711297751
24510090700,baltimore,7739,79.7,64.54890274,15.15109726
24510090800,baltimore,9454,89.7,97.96803034,-8.268030344
24510090900,baltimore,4048,53.4,46.19344351,7.206556489
24510100100,baltimore,3346,47.16,43.98536982,3.174630182
24510100200,baltimore,1236,22.66,13.51937144,9.140628556
24510100300,baltimore,234,1.21,76.68653481,-75.47653481
24510110100,baltimore,2462,38.28,91.57409916,-53.29409916
24510110200,baltimore,5229,62.79,99.52587375,-36.73587375
24510120100,baltimore,1684,29.01,32.33541046,-3.325410458
24510120201,baltimore,2967,43.52,77.49932268,-33.97932268
24510120202,baltimore,2580,39.55,80.43890545,-40.88890545
24510120300,baltimore,7576,78.7,91.01869412,-12.31869412
24510120400,baltimore,4149,54.26,65.28041181,-11.02041181
24510120500,baltimore,5291,63.25,98.98401517,-35.73401517
24510120600,baltimore,6920,74.53,99.13302628,-24.60302628
24510120700,baltimore,4924,60.48,99.75616364,-39.27616364
24510130100,baltimore,2505,38.74,26.30723381,12.43276619
24510130200,baltimore,2825,42.09,53.16987266,-11.07987266
24510130300,baltimore,5126,62.01,83.90680033,-21.89680033
24510130400,baltimore,3594,49.44,55.98753725,-6.547537253
24510130600,baltimore,4537,57.44,98.75372528,-41.31372528
24510130700,baltimore,4462,56.83,88.68870225,-31.85870225
24510130803,baltimore,2635,40.13,48.17122731,-8.04122731
24510130804,baltimore,2479,38.46,96.36954755,-57.90954755
24510130805,baltimore,1134,21.06,34.15063668,-13.09063668
24510130806,baltimore,1689,29.07,72.96125711,-43.89125711
24510140100,baltimore,3227,46.04,89.86724465,-43.82724465
24510140200,baltimore,3831,51.54,84.80086697,-33.26086697
