city,code,code_type,full_name,standard_category
san_francisco,MUO,current_code_flat,Mixed Use-Office,mixed-use
san_francisco,WMUO,current_code_flat,Western SoMa Mixed Use-Office,mixed-use
san_francisco,MUR,current_code_flat,Mixed Use-Residential,mixed-use
san_francisco,UMU,current_code_flat,Urban Mixed Use,mixed-use
san_francisco,RCD,current_code_flat,Regional Commercial,commercial
san_francisco,C-2,current_code_flat,Community Business,commercial
san_francisco,C-3-R,current_code_flat,Downtown Retail,commercial
san_francisco,C-3-G,current_code_flat,Downtown General,commercial
san_francisco,C-3-O,current_code_flat,Downtown Office,commercial
san_francisco,C-3-O(SD),current_code_flat,Downtown Office Special Development,commercial
san_francisco,MB-OS,current_code_flat,Mission Bay Open Space,open_space
san_francisco,MB-O,current_code_flat,Mission Bay Office District,commercial
san_francisco,M-1,current_code_flat,Light Industrial,industrial
san_francisco,M-2,current_code_flat,Heavy Industrial,industrial
san_francisco,PDR-1-B,current_code_flat,PDR Light Industrial Buffer,industrial
san_francisco,PDR-1-D,current_code_flat,Production Distribution & Repair 1 Design,industrial
san_francisco,PDR-1-G,current_code_flat,Production Distribution & Repair 1 General,industrial
san_francisco,PDR-2,current_code_flat,PDR Production Distribution And Repair,industrial
boston,1F,current_code_flat,One-Family Residential Subdistrict,residential
boston,2F,current_code_flat,Two-Family Residential Subdistrict,residential
boston,3F,current_code_flat,Three-Family Residential Subdistrict,residential
boston,MFR,current_code_flat,Multifamily Residential Subdistrict,residential
boston,CPS,current_code_flat,Conservation Protection Subdistrict,open_space
boston,OS,current_code_flat,Open Space District,open_space
boston,OS-A,current_code_flat,Air-Right Open Space Subdistrict,open_space
boston,OS-CM,current_code_flat,Cemetery Open Space Subdistrict,open_space
boston,OS-G,current_code_flat,Community Garden Open Space Subdistrict,open_space
boston,OS-P,current_code_flat,Parkland Open Space Subdistrict,open_space
boston,OS-RC,current_code_flat,Recreation Open Space Subdistrict,open_space
boston,OS-UP,current_code_flat,Urban Plaza Open Space Subdistrict,open_space
boston,OS-UW,current_code_flat,Urban Wild Open Space Subdistrict,open_space
boston,LC,current_code_flat,Local Convenience Business Subdistrict,commercial
boston,NS,current_code_flat,Neighborhood Shopping Business Subdistrict,commercial
boston,CC,current_code_flat,Community Commercial Business Subdistrict,commercial
boston,LI,current_code_flat,Local Industrial Subdistrict,industrial
boston,IS,current_code_flat,Institutional Service District,institutional
boston,B-1,legacy_code_flat,Retail Business & Offices District,commercial
boston,B-2,legacy_code_flat,Retail Business & Offices District,commercial
boston,B-4,legacy_code_flat,Retail Business & Offices District,commercial
boston,B-8,legacy_code_flat,Retail Business & Offices District,commercial
boston,B-10,legacy_code_flat,Retail Business & Offices District,commercial
boston,CE,legacy_code_flat,Commercial Enterprise District,commercial
boston,Special,other_flat,Special Zoning District,other
boston,Special (LIA),other_flat,Logan International Airport Special Zoning District,other
boston,Institutional,legacy_code_flat,Institutional Zoning District,institutional
